airplane,airname,citycode,cityname,country
KAZ,卡乌机场,KAZ,托贝洛,印度尼西亚
WGP,瓦英阿普机场,WGP,瓦英阿普,印度尼西亚
BWX,比林姆宾沙里机场,BWX,外南梦,印度尼西亚
BDO,侯赛因萨斯特雷纳加拉机场,BDO,万隆,印度尼西亚
UPG,乌戎潘当机场,UPG,望加锡,印度尼西亚
LBJ,下拉布安机场,LBJ,下拉布安,印度尼西亚
SQG,新当机场,SQG,新当,印度尼西亚
CGK,雅加达机场,JKT,雅加达,印度尼西亚
HLP,哈利姆-珀达纳库苏马国际机场,JKT,雅加达,印度尼西亚
DJB,占碑机场,DJB,占碑,印度尼西亚
AGX,阿格蒂岛机场,AGX,阿格蒂岛,印度
AGR,亚拉格机场,AGR,阿格拉,印度
IXA,阿加尔塔拉机场,IXA,阿加尔塔拉,印度
AKD,阿科拉机场,AKD,阿科拉,印度
ATQ,拉贾桑西机场,ATQ,阿姆利则,印度
AMD,艾哈迈达巴德机场,AMD,艾哈迈达巴德,印度
AJL,艾藻尔机场,AJL,艾藻尔,印度
IXU,奇卡尔萨纳机场,IXU,奥兰加巴德,印度
IXB,巴格多格拉机场,IXB,巴格多格拉,印度
PAT,巴特那机场,PAT,巴特那,印度
BLR,班加罗尔机场,BLR,班加罗尔,印度
BHU,包纳加尔机场,BHU,包纳加尔,印度
IXG,贝尔高姆机场,IXG,贝尔高姆,印度
BEP,贝拉里机场,BEP,贝拉里,印度
BKB,比卡内尔机场,BKB,比卡内尔,印度
PBD,博尔本德尔机场,PBD,博尔本德尔,印度
BHO,博帕尔机场,BHO,博帕尔,印度
BBI,布巴内斯瓦尔机场,BBI,布巴内斯瓦尔,印度
PUT,布达巴地机场,PUT,布达巴地,印度
IXZ,布莱尔港机场,IXZ,布莱尔港,印度
IXJ,查漠机场,IXJ,查漠,印度
IXC,昌迪加尔 机场,IXC,昌迪加尔,印度
DHM,达兰萨拉机场,DHM,达兰萨拉,印度
DIB,查布阿机场,DIB,迪布鲁格尔,印度
DMU,迪马布尔机场,DMU,迪马布尔,印度
DIU,第乌机场,DIU,第乌,印度
TRZ,蒂鲁吉拉伯利民航机场,TRZ,蒂鲁吉拉伯利,印度
GOP,戈勒克布尔机场,GOP,戈勒克布尔,印度
CJB,佩拉梅杜机场,CJB,哥印拜陀,印度
GAY,格雅机场,GAY,格雅,印度
GAU,博尔哈机场,GAU,古瓦哈蒂,印度
GOI,果阿机场,GOI,果阿,印度
HYD,海得拉巴机场,HYD,海德拉巴,印度
CCU,加尔各答机场,CCU,加尔各答,印度
JGA,格瓦德汉珀尔机场,JGA,贾姆纳加尔,印度
JDH,乔德普尔城机场,JDH,焦特布尔,印度
MAA,钦奈机场,MAA,金奈,印度
COK,库奇机场,COK,科钦,印度
CCJ,科泽科德机场,CCJ,科泽科德,印度
HJR,克久拉霍机场,HJR,克久拉霍,印度
RAJ,拉杰果德民航机场,RAJ,拉杰科德,印度
RPR,赖布尔机场,RPR,赖普尔,印度
IXR,兰契机场,IXR,兰契,印度
LKO,阿茅西机场,LKO,勒克瑙,印度
IXL,列城机场,IXL,列城,印度
IXM,卡马尔普尔机场,IXM,马杜赖,印度
IXE,巴吉佩机场,IXE,曼加洛尔,印度
BOM,孟买机场,BOM,孟买,印度
NAG,那格浦尔机场,NAG,那格浦尔,印度
BUP,珀丁达机场,BUP,珀丁达,印度
PNQ,浦那机场,PNQ,浦那,印度
BHJ,鲁德拉马塔机场,BHJ,普杰,印度
JRH,乔哈特机场,JRH,乔哈特,印度
SXR,斯利那加机场,SXR,斯利那加,印度
STV,苏拉特古加拉特机场,STV,苏拉特,印度
TRV,特里凡得琅国际 机场,TRV,特里凡得琅,印度
TIR,蒂鲁伯蒂机场,TIR,提鲁帕帝,印度
TEZ,提斯普尔机场,TEZ,提斯普尔,印度
BDQ,瓦多达拉机场,BDQ,瓦都达拉,印度
VNS,瓦拉纳西机场,VNS,瓦拉纳西,印度
VTZ,维沙卡帕特南机场,VTZ,维萨卡帕特南,印度
UDR,达博克机场,UDR,乌代布尔,印度
